pickup_datetime,Actual,Forecast
2023-03-08 07:00:00,0,0.016806158095898194
2023-03-08 08:00:00,0,0.017768097778166708
2023-03-08 09:00:00,0,0.018072186804535824
2023-03-08 10:00:00,0,0.01785101408291345
2023-03-08 11:00:00,0,0.018011879384019287
2023-03-08 12:00:00,0,0.017894877409679724
2023-03-08 13:00:00,0,0.01797997632103755
2023-03-08 14:00:00,0,0.01791808142776618
2023-03-08 15:00:00,0,0.017963099369264462
2023-03-08 16:00:00,0,0.017930356521678355
2023-03-08 17:00:00,0,0.017954171339334732
2023-03-08 18:00:00,0,0.017936850135413327
2023-03-08 19:00:00,0,0.017949448346729322
2023-03-08 20:00:00,0,0.017940285304190094
2023-03-08 21:00:00,0,0.017946949849375893
2023-03-08 22:00:00,0,0.01794210253339505
2023-03-08 23:00:00,0,0.01794562812614941
2023-03-09 00:00:00,0,0.01794306386082841
2023-03-09 01:00:00,0,0.017944928924973534
2023-03-09 02:00:00,0,0.01794357241001506
2023-03-09 03:00:00,0,0.017944559042478814
2023-03-09 04:00:00,0,0.01794384143622431
2023-03-09 05:00:00,0,0.017944363371955624
2023-03-09 06:00:00,0,0.017943983753040776
2023-03-09 07:00:00,0,0.01794425986082927
2023-03-09 08:00:00,0,0.017944059039669193
2023-03-09 09:00:00,0,0.01794420510269246
2023-03-09 10:00:00,0,0.017944098866841826
2023-03-09 11:00:00,0,0.017944176135240818
2023-03-09 12:00:00,0,0.017944119935705095
2023-03-09 13:00:00,0,0.017944160811248742
2023-03-09 14:00:00,0,0.01794413108128662
2023-03-09 15:00:00,0,0.01794415270474576
2023-03-09 16:00:00,0,0.017944136977380103
2023-03-09 17:00:00,0,0.017944148416346867
2023-03-09 18:00:00,0,0.017944140096456337
2023-03-09 19:00:00,0,0.01794414614775274
2023-03-09 20:00:00,0,0.01794414174647029
2023-03-09 21:00:00,0,0.017944144947649992
2023-03-09 22:00:00,0,0.017944142619339642
2023-03-09 23:00:00,0,0.01794414431278693
2023-03-10 00:00:00,0,0.017944143081093863
2023-03-10 01:00:00,0,0.017944143976939764
2023-03-10 02:00:00,0,0.017944143325365196
2023-03-10 03:00:00,0,0.017944143799274177
2023-03-10 04:00:00,0,0.017944143454586503
2023-03-10 05:00:00,0,0.017944143705287793
2023-03-10 06:00:00,0,0.017944143522945512
2023-03-10 07:00:00,0,0.01794414365556831
2023-03-10 08:00:00,0,0.017944143559107926
2023-03-10 09:00:00,0,0.017944143629266347
2023-03-10 10:00:00,0,0.017944143578238102
2023-03-10 11:00:00,0,0.017944143615352418
2023-03-10 12:00:00,0,0.017944143588358104
2023-03-10 13:00:00,0,0.017944143607991847
2023-03-10 14:00:00,0,0.01794414359371166
2023-03-10 15:00:00,0,0.017944143604098052
2023-03-10 16:00:00,0,0.017944143596543727
2023-03-10 17:00:00,0,0.017944143602038207
2023-03-10 18:00:00,0,0.017944143598041914
2023-03-10 19:00:00,0,0.017944143600948533
2023-03-10 20:00:00,0,0.017944143598834464
2023-03-10 21:00:00,0,0.017944143600372088
2023-03-10 22:00:00,0,0.01794414359925373
2023-03-10 23:00:00,0,0.017944143600067144
2023-03-11 00:00:00,0,0.017944143599475524
2023-03-11 01:00:00,0,0.017944143599905826
2023-03-11 02:00:00,0,0.017944143599592857
2023-03-11 03:00:00,0,0.017944143599820488
2023-03-11 04:00:00,0,0.017944143599654926
2023-03-11 05:00:00,0,0.017944143599775343
2023-03-11 06:00:00,0,0.01794414359968776
